epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,0.0003,0.22746071133167908,0.3125,0.3181818181818182,0.28125,1.0,0.71875,0.0,0.0,1.2641105651855469,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,1.1523418426513672
2,0.000299794430213186,0.196415770609319,0.28125,0.18181818181818182,0.25,0.0,0.0,0.7142857142857143,0.75,1.8343982696533203,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,0.7691497802734375
3,0.00029917828430524096,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,0.8341598510742188,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,0.8163032531738281
4,0.00029815325108927063,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,0.9200363159179688,0.43019943019943013,0.75,1.0,0.9375,0.0,0.0,0.2857142857142857,0.0625,0.663909912109375
5,0.0002967221401100708,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,0.7351455688476562,0.2716049382716049,0.6875,1.0,1.0,0.0,0.0,0.0,0.0,0.5996322631835938
6,0.0002948888739433602,0.5215419501133787,0.8125,1.0,0.84375,0.0,0.0,0.5714285714285714,0.15625,0.5588836669921875,0.8037037037037038,0.9375,1.0,0.71875,0.3333333333333333,0.03125,1.0,0.25,0.3879833221435547
7,0.00029265847744427303,0.5770975056689343,0.84375,1.0,0.84375,0.0,0.0,0.7142857142857143,0.15625,0.43605732917785645,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.12093949317932129
8,0.00029003706397458023,0.8863240418118467,0.90625,0.8636363636363636,0.59375,1.0,0.125,1.0,0.28125,0.298325777053833,0.966951566951567,0.96875,1.0,0.71875,1.0,0.09375,0.8571428571428571,0.1875,0.11208736896514893
9,0.0002870318186463901,0.8931995540691192,0.9375,1.0,0.75,0.6666666666666666,0.0625,0.8571428571428571,0.1875,0.13737094402313232,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.052345842123031616
10,0.00028365097862825513,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.04911862313747406,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.0022446736693382263
11,0.0002799038105676658,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.004546061158180237,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.007293224334716797
12,0.00027580058519181355,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.011841580271720886,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.0031405389308929443
13,0.00027135254915624206,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.0032545924186706543,1.0,1.0,1.0,0.6875,1.0,0.09375,1.0,0.21875,0.0008767209947109222
