epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,0.0003,0.34088778158663535,0.3407219759341355,0.3333333333333333,0.34578847371754273,0.350844277673546,0.31982267257758074,0.3378119001919386,0.3343888537048765,1.3735728669166565,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0520133880468516
2,0.00029815325108927063,0.3359134762092637,0.3362887903736542,0.35660377358490564,0.34325522482583914,0.3440453686200378,0.3489550348321723,0.3076923076923077,0.3077897403419886,1.132362084388733,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0244905581841102
3,0.00029265847744427303,0.3431138607993092,0.3476884103863205,0.324853228962818,0.3134895503483217,0.2665406427221172,0.25902469917669413,0.4489795918367347,0.42748575047498416,1.1271737289428712,0.07623318385650224,0.1291139240506329,0.0,0.0,0.0,0.0,1.0,1.0,1.2244649575306819
4,0.0002836509786282552,0.34265562090776225,0.3546548448385054,0.2702169625246548,0.27042431918936033,0.4982758620689655,0.4838505383153895,0.27235772357723576,0.24572514249525015,1.121566152572632,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0823175448637743
5,0.0002713525491562421,0.35599821196796627,0.357188093730209,0.36466165413533835,0.3331222292590247,0.30994152046783624,0.29259024699176694,0.3951310861423221,0.3742875237492084,1.1090027070045472,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,0.9478655824294457
6,0.0002560660171779821,0.30802506561216786,0.31538948701709946,0.3684210526315789,0.40278657378087396,0.19839679358717435,0.20202659911336288,0.3705103969754253,0.39518682710576314,1.1499485421180724,0.07623318385650224,0.1291139240506329,0.0,0.0,0.0,0.0,1.0,1.0,1.2184071082335253
7,0.000238167787843871,0.3475714789677709,0.35212159594680176,0.2595419847328244,0.24952501583280556,0.348747591522158,0.3286890436985434,0.4458955223880597,0.42178594046865103,1.1095917129516601,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0460341985409076
8,0.00021809857496093204,0.30590260731229524,0.3122229259024699,0.36704119850187267,0.3901203293223559,0.20078740157480315,0.2045598480050665,0.36312849162011174,0.4053198226725776,1.1152393531799316,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0434105487970204
9,0.00019635254915624216,0.3350702874884117,0.34262191260291325,0.4514991181657848,0.4597846738442052,0.3081395348837209,0.30208993033565545,0.2540322580645161,0.23812539582013934,1.1033410716056824,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0128481617340674
