epoch,lr,train_macro_f1,train_accuracy,train_loss,val_macro_f1,val_accuracy,val_loss
1,0.0003,0.28493677137096274,0.3867088607594937,1.16309079618165,0.07357357357357357,0.1240506329113924,1.104508409500122
2,0.00029815325108927063,0.29661772055471886,0.4487341772151899,1.1140370061903289,0.08663729809104259,0.14936708860759493,1.0926775789260865
3,0.00029265847744427303,0.3320824177069673,0.49873417721518987,1.1150999153503265,0.07357357357357357,0.1240506329113924,1.1162177896499634
4,0.0002836509786282552,0.3071001349608315,0.5272151898734178,1.1055285762054752,0.2805474095796677,0.7265822784810126,1.1141107296943664
5,0.0002713525491562421,0.3312630953175739,0.5462025316455696,1.1033592880374254,0.2805474095796677,0.7265822784810126,1.1120275735855103
6,0.0002560660171779821,0.3284877584379659,0.5158227848101266,1.106834802964721,0.08663729809104259,0.14936708860759493,1.0962981462478638
7,0.000238167787843871,0.3172294729785257,0.5455696202531646,1.1078956951998702,0.2805474095796677,0.7265822784810126,1.11452130317688
8,0.00021809857496093204,0.2914305488639579,0.6708860759493671,1.1031034944033382,0.2805474095796677,0.7265822784810126,1.1137883853912354
9,0.00019635254915624216,0.32740745206346283,0.5120253164556962,1.1008142521887114,0.07357357357357357,0.1240506329113924,1.1204981422424316
10,0.00017346516975603468,0.2920209394500035,0.43734177215189873,1.1059965629770299,0.2805474095796677,0.7265822784810126,1.1175123310089112
11,0.00015000000000000001,0.31322048892660576,0.6759493670886076,1.1015573324579182,0.2805474095796677,0.7265822784810126,1.093484983444214
12,0.0001265348302439654,0.30515501812004026,0.5025316455696203,1.1034004724386968,0.2805474095796677,0.7265822784810126,1.1131138372421265
13,0.0001036474508437579,0.2870870870870871,0.7563291139240507,1.097533860591927,0.2805474095796677,0.7265822784810126,1.1036361932754517
14,8.190142503906799e-05,0.3136667539841809,0.7012658227848101,1.0983256595303315,0.2805474095796677,0.7265822784810126,1.1047817468643188
15,6.183221215612905e-05,0.2972952297805574,0.7335443037974684,1.1005650698536573,0.2805474095796677,0.7265822784810126,1.0979237842559815
16,4.393398282201788e-05,0.2989400866176573,0.7253164556962025,1.0967665910720825,0.2805474095796677,0.7265822784810126,1.1070177221298219
17,2.86474508437579e-05,0.29361516660593084,0.7550632911392405,1.0978417709620312,0.2805474095796677,0.7265822784810126,1.1029980182647705
18,1.6349021371744834e-05,0.2863340563991323,0.7518987341772152,1.0984780210437197,0.2805474095796677,0.7265822784810126,1.1009704542160035
19,7.341522555726972e-06,0.2957072580103119,0.75,1.0987904192221285,0.2805474095796677,0.7265822784810126,1.1012330293655395
20,1.8467489107293517e-06,0.2924137161351525,0.7487341772151899,1.0971888616831615,0.2805474095796677,0.7265822784810126,1.1015898942947389
