epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,2.9999999999999997e-06,0.2748968930493101,0.32615579480683976,0.03238095238095238,0.026599113362887904,0.5365853658536586,0.5566814439518682,0.4069097888675624,0.4167194426852438,0.999197962910238,0.14473748473748474,0.12658227848101267,0.0,0.0,0.5957446808510638,0.7037974683544304,0.43137254901960786,0.29620253164556964,1.4470960474014283
2,0.00010199999999999999,0.3305931555815452,0.38948701709943,0.04150943396226415,0.024699176694110196,0.610586011342155,0.5300823305889804,0.5192307692307693,0.44521849271690944,0.9136169167480084,0.09943478260869565,0.1291139240506329,0.0,0.0,0.0425531914893617,0.19746835443037974,0.9607843137254902,0.8025316455696202,1.769380557537079
3,0.00020099999999999998,0.41778707014480715,0.4642178594046865,0.11350293542074363,0.05889803673210893,0.6786389413988658,0.5560481317289424,0.5862708719851577,0.3850538315389487,0.7269336089040294,0.27948739506788706,0.24050632911392406,0.11447811447811448,0.08607594936708861,0.425531914893617,0.6253164556962025,0.803921568627451,0.28860759493670884,1.4191499757766723
4,0.0003,0.44452863175085894,0.4927169094363521,0.126232741617357,0.07726409119696011,0.7189655172413794,0.571247625079164,0.6036585365853658,0.35148828372387586,0.6109293192022979,0.5226880974233844,0.6810126582278481,0.7441077441077442,0.5822784810126582,0.3829787234042553,0.21265822784810126,0.5882352941176471,0.20506329113924052,0.9794076430797577
5,0.00029898575366129145,0.5689704417837681,0.5820139328689043,0.3383458646616541,0.16529449018366055,0.7192982456140351,0.4604179860671311,0.6928838951310862,0.3742875237492084,0.5030154090638113,0.5058601857617269,0.6379746835443038,0.6801346801346801,0.5443037974683544,0.425531914893617,0.25063291139240507,0.5882352941176471,0.20506329113924052,1.1095109581947327
6,0.00029595673058697357,0.5752827832068638,0.5801139962001267,0.41560798548094374,0.22102596580113995,0.6793587174348698,0.39582013932868904,0.6578449905482041,0.383153894870171,0.46203335150700026,0.3806746939788493,0.43544303797468353,0.4074074074074074,0.3139240506329114,0.44680851063829785,0.3924050632911392,0.5882352941176471,0.2936708860759494,1.1202403354644774
7,0.0002909538931178863,0.6079745436784659,0.6136795440151995,0.4446564885496183,0.2070930968967701,0.6917148362235067,0.4059531348955035,0.7033582089552238,0.3869537682077264,0.39796852576311187,0.5903745587882526,0.7493670886075949,0.8080808080808081,0.6354430379746835,0.3829787234042553,0.1341772151898734,0.7450980392156863,0.23037974683544304,0.9091785264015197
8,0.00028404489604851187,0.60854206919967,0.609879670677644,0.5131086142322098,0.2552248258391387,0.6653543307086615,0.37682077264091196,0.6536312849162011,0.36795440151994935,0.3904014268156254,0.5625572161950282,0.7088607594936709,0.7744107744107744,0.610126582278481,0.46808510638297873,0.25316455696202533,0.5490196078431373,0.13670886075949368,1.1142960834503173
9,0.0002753231717119405,0.6097770066478798,0.61051298290057,0.5044091710758377,0.27485750474984166,0.6724806201550387,0.3812539582013933,0.6673387096774194,0.34388853704876504,0.3841787338106319,0.5998731598084518,0.7443037974683544,0.797979797979798,0.6278481012658228,0.48936170212765956,0.189873417721519,0.6666666666666666,0.18227848101265823,0.8896048343181611
10,0.0002649066664678467,0.6556574032695868,0.6592780240658644,0.5369649805447471,0.2520582647245092,0.708171206225681,0.3628879037365421,0.7277676950998185,0.3850538315389487,0.3290282813361799,0.5268951472041979,0.8025316455696202,0.9225589225589226,0.7772151898734178,0.02127659574468085,0.017721518987341773,0.8235294117647058,0.20506329113924052,1.6308014076948165
11,0.00025293624568031007,0.6586810581291436,0.6630778974034199,0.5347912524850894,0.24319189360354654,0.7115384615384616,0.37175427485750473,0.7338129496402878,0.3850538315389487,0.34435556267359946,0.49699988382730087,0.7443037974683544,0.8316498316498316,0.6784810126582278,0.0425531914893617,0.0379746835443038,0.8823529411764706,0.28354430379746837,1.0934306299686432
12,0.00023957378875541792,0.6628636486976927,0.6643445218492717,0.5799614643545279,0.2716909436352122,0.7192660550458716,0.3850538315389487,0.6912621359223301,0.34325522482583914,0.303171983581375,0.4588583071555208,0.779746835443038,0.9797979797979798,0.9265822784810127,0.0425531914893617,0.02531645569620253,0.29411764705882354,0.04810126582278481,1.8795671805739402
13,0.000225,0.6751082046281223,0.6770107663077898,0.5900990099009901,0.26662444585180495,0.722117202268431,0.36732108929702345,0.7137614678899082,0.3660544648511716,0.285143316902145,0.5850800303839736,0.7848101265822784,0.898989898989899,0.759493670886076,0.2553191489361702,0.10126582278481013,0.6078431372549019,0.13924050632911392,1.153686901628971
14,0.00020941196490587352,0.6854222843636606,0.688410386320456,0.5640535372848948,0.2609246358454718,0.7508960573476703,0.39265357821405955,0.748995983935743,0.34642178594046863,0.30512270747185355,0.48481665451047834,0.7670886075949367,0.9494949494949495,0.8556962025316456,0.1702127659574468,0.10126582278481013,0.2549019607843137,0.043037974683544304,1.3769622653722764
15,0.00019302048490666353,0.6617691720394366,0.6637112096263458,0.5520446096654275,0.26915769474350854,0.7293233082706767,0.3799873337555415,0.7131630648330058,0.35085497150094996,0.2935529195073277,0.5274167102738532,0.7974683544303798,0.9730639730639731,0.8607594936708861,0.1702127659574468,0.07088607594936709,0.35294117647058826,0.06835443037974684,1.438228849172592
16,0.00017604722665003956,0.6438550039040151,0.6466117796073464,0.5406976744186046,0.26789107029765674,0.694980694980695,0.3590880303989867,0.7009174311926606,0.3730208993033566,0.3100473020564426,0.5865375647558567,0.8,0.9292929292929293,0.789873417721519,0.2127659574468085,0.09113924050632911,0.5882352941176471,0.1189873417721519,0.9585163259506225
17,0.00015872172433657137,0.6848750260752517,0.6852438252058265,0.6185383244206774,0.3077897403419886,0.7148760330578512,0.3331222292590247,0.7284644194756554,0.3590880303989867,0.2962645127654377,0.4878642970567701,0.7974683544303798,0.9831649831649831,0.9164556962025316,0.02127659574468085,0.005063291139240506,0.43137254901960786,0.07848101265822785,1.8116466407477856
18,0.00014127827566342863,0.7211744935411146,0.7226092463584547,0.621414913957935,0.2609246358454718,0.7756653992395437,0.37492083597213427,0.769811320754717,0.3641545281823939,0.2927116790428908,0.527596883449138,0.8075949367088607,0.9764309764309764,0.8911392405063291,0.0425531914893617,0.015189873417721518,0.5294117647058824,0.09367088607594937,1.6094715991616249
19,0.0001239527733499605,0.6423194121354874,0.6447118429385688,0.5305343511450382,0.25902469917669413,0.6987295825771325,0.3913869537682077,0.7043650793650794,0.34958834705509817,0.2985265213017813,0.519971171138121,0.810126582278481,0.9663299663299664,0.850632911392405,0.02127659574468085,0.015189873417721518,0.6274509803921569,0.1341772151898734,1.3176626926660537
20,0.00010697951509333647,0.6658328245949326,0.6681443951868271,0.56,0.26535782140595315,0.7151162790697675,0.3597213426219126,0.7286245353159851,0.37492083597213427,0.29122311090391995,0.5534677848775292,0.8050632911392405,0.9528619528619529,0.8329113924050633,0.10638297872340426,0.043037974683544304,0.5882352941176471,0.1240506329113924,1.252400422692299
