epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,0.0003,0.3098579856492337,0.3128562381253958,0.3466666666666667,0.37745408486383786,0.3621013133208255,0.3597213426219126,0.22840690978886757,0.2628245725142495,1.1915589748608946,0.07088989441930618,0.1189873417721519,0.0,0.0,1.0,1.0,0.0,0.0,1.1389456224441528
2,0.0002988172051971717,0.3284983419142809,0.3286890436985434,0.3433962264150943,0.3369221025965801,0.33459357277882795,0.34958834705509817,0.3076923076923077,0.3134895503483217,1.1207315491305456,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.045043797492981
3,0.0002952874741692947,0.3292228282630045,0.3318556048131729,0.2974559686888454,0.29132362254591515,0.28544423440453687,0.3058898036732109,0.4100185528756957,0.40278657378087396,1.107795982649832,0.07623318385650224,0.1291139240506329,0.0,0.0,0.0,0.0,1.0,1.0,1.1351474404335022
4,0.0002894664728832377,0.301821837102156,0.32488917036098797,0.16370808678500987,0.1785940468651045,0.5206896551724138,0.5490816972767575,0.2601626016260163,0.2723242558581381,1.1099858341192959,0.07088989441930618,0.1189873417721519,0.0,0.0,1.0,1.0,0.0,0.0,1.0625050139427186
5,0.00028144600200657956,0.3497373153086673,0.35338822039265355,0.41729323308270677,0.4103863204559848,0.2631578947368421,0.24635845471817605,0.37640449438202245,0.34325522482583914,1.1086064950384276,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0020130693912506
6,0.00027135254915624217,0.31785655109564637,0.34515516149461684,0.4319419237749546,0.441418619379354,0.11222444889779559,0.10956301456618113,0.47448015122873344,0.4490183660544648,1.1055076179480312,0.07623318385650224,0.1291139240506329,0.0,0.0,0.0,0.0,1.0,1.0,1.07803364276886
7,0.0002593452941132118,0.3195297216016844,0.32678910702976566,0.2385496183206107,0.2710576314122863,0.27552986512524086,0.26979100696643443,0.4626865671641791,0.4591513616212793,1.1047823302673572,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0714703297615051
8,0.00024561359846230347,0.3098983338101589,0.3236225459151362,0.3838951310861423,0.40025332488917037,0.15748031496062992,0.17226092463584547,0.4208566108007449,0.42748575047498416,1.1061988259204711,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0740048265457154
9,0.0002303740192468495,0.32991894731751176,0.35212159594680176,0.5343915343915344,0.5250158328055732,0.3333333333333333,0.31792273590880304,0.16330645161290322,0.1570614312856238,1.1001436264827997,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0657022738456725
10,0.0002138668937347609,0.3068438867173707,0.3305889803673211,0.1867704280155642,0.20075997466751108,0.2198443579766537,0.22039265357821405,0.5680580762250453,0.5788473717542748,1.103689892123444,0.2861271676300578,0.7518987341772152,1.0,1.0,0.0,0.0,0.0,0.0,1.0472792482376099
11,0.0001963525491562421,0.30876909534707847,0.3369221025965801,0.1172962226640159,0.12349588347055099,0.3403846153846154,0.3299556681443952,0.5323741007194245,0.5465484483850538,1.1027384189644245,0.07088989441930618,0.1189873417721519,0.0,0.0,1.0,1.0,0.0,0.0,1.0759098649024963
12,0.00017810719718785873,0.29826176010082395,0.3109563014566181,0.21772639691714837,0.2298923369221026,0.48073394495412847,0.5218492716909436,0.22524271844660193,0.24825839138695377,1.1035742284071566,0.07088989441930618,0.1189873417721519,0.0,0.0,1.0,1.0,0.0,0.0,1.1142350339889526
13,0.00015941857792939703,0.3142001969194043,0.31855604813172894,0.2613861386138614,0.24572514249525015,0.2722117202268431,0.30905636478784043,0.41651376146788993,0.44521849271690944,1.1012513643563395,0.07623318385650224,0.1291139240506329,0.0,0.0,0.0,0.0,1.0,1.0,1.1236713600158692
