epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,0.0003,0.32413060180450504,0.3293223559214693,0.3352380952380952,0.331222292590247,0.42213883677298314,0.4230525649145028,0.22840690978886757,0.24572514249525015,1.2649309277534484,0.2767201481024375,0.4253164556962025,0.44107744107744107,0.42025316455696204,0.0,0.0,0.7254901960784313,0.579746835443038,1.0184607872596154
2,0.0002988172051971717,0.37880117876131036,0.37808739708676375,0.4075471698113208,0.3077897403419886,0.3761814744801512,0.3654211526282457,0.35,0.32678910702976566,1.094108123779297,0.33444784553802687,0.5164556962025316,0.5454545454545454,0.4253164556962025,0.8936170212765957,0.5746835443037974,0.0,0.0,0.8758072807238653
3,0.0002952874741692947,0.5530369059709852,0.5503483217226093,0.6575342465753424,0.2963901203293224,0.42533081285444235,0.311589613679544,0.5714285714285714,0.39202026599113365,0.8896762990951538,0.5340276033130356,0.6126582278481013,0.5892255892255892,0.4531645569620253,0.5319148936170213,0.29873417721518986,0.8235294117647058,0.2481012658227848,0.9108989605536828
4,0.0002894664728832377,0.7012338869186973,0.695376820772641,0.777120315581854,0.2894236858771374,0.593103448275862,0.35275490816972765,0.7317073170731707,0.3578214059531349,0.6798879903554916,0.5452577101816646,0.6911392405063291,0.7474747474747475,0.579746835443038,0.7659574468085106,0.3670886075949367,0.29411764705882354,0.053164556962025315,0.6922616545970623
5,0.00028144600200657956,0.8278888655308559,0.8290056998100064,0.7988721804511278,0.2970234325522483,0.7621832358674464,0.3324889170360988,0.9232209737827716,0.37048765041165294,0.4609041929244995,0.6206410676720487,0.7721518987341772,0.8451178451178452,0.6658227848101266,0.6808510638297872,0.25316455696202533,0.43137254901960786,0.0810126582278481,0.5495699873337379
6,0.00027135254915624217,0.9031453327761992,0.9037365421152628,0.8638838475499092,0.3229892336922103,0.8897795591182365,0.3318556048131729,0.9584120982986768,0.34515516149461684,0.28567050009965894,0.6207200850279683,0.7367088607594937,0.7811447811447811,0.6075949367088608,0.6595744680851063,0.2911392405063291,0.5490196078431373,0.10126582278481013,0.7839511266121497
7,0.0002593452941132118,0.9171224949468423,0.9176694110196327,0.8587786259541985,0.30082330588980366,0.9229287090558767,0.35085497150094996,0.9701492537313433,0.3483217226092464,0.2314148385450244,0.6453788424337414,0.7772151898734178,0.8249158249158249,0.6379746835443038,0.574468085106383,0.20759493670886076,0.6862745098039216,0.15443037974683543,0.7225184005040389
8,0.00024561359846230347,0.9515055510824718,0.9518682710576314,0.9119850187265918,0.31792273590880304,0.9586614173228346,0.337555414819506,0.9851024208566108,0.34452184927169094,0.14672573730349542,0.5938551392259285,0.779746835443038,0.8922558922558923,0.7493670886075949,0.48936170212765956,0.17215189873417722,0.39215686274509803,0.07848101265822785,0.9007561802864075
9,0.0002303740192468495,0.9558217410235347,0.9556681443951869,0.9400352733686067,0.3470550981633945,0.9554263565891473,0.3343888537048765,0.9737903225806451,0.31855604813172894,0.1400056157261133,0.607947232947233,0.7848101265822784,0.8922558922558923,0.7468354430379747,0.574468085106383,0.2,0.35294117647058826,0.053164556962025315,0.9042912584084731
10,0.0002138668937347609,0.971932946515422,0.9721342621912603,0.9552529182879378,0.31728942368587715,0.9785992217898832,0.3324889170360988,0.9818511796733213,0.35022165927802407,0.09048035129904747,0.6322043969102792,0.8126582278481013,0.9259259259259259,0.7670886075949367,0.44680851063829785,0.13924050632911392,0.49019607843137253,0.09367088607594937,0.7793627862746899
11,0.0001963525491562421,0.962194670315737,0.9626345788473718,0.9463220675944334,0.3103229892336922,0.95,0.3280557314756175,0.9892086330935251,0.3616212792906903,0.1092584310285747,0.6461939144865975,0.7924050632911392,0.8686868686868687,0.7012658227848101,0.48936170212765956,0.17721518987341772,0.6274509803921569,0.12151898734177215,0.7927151024341583
12,0.00017810719718785873,0.9887159678166032,0.9886003799873337,0.9788053949903661,0.32552248258391386,0.9889908256880734,0.3489550348321723,0.9980582524271845,0.32552248258391386,0.03590706540737301,0.6417443327993787,0.7974683544303798,0.8754208754208754,0.7063291139240506,0.40425531914893614,0.1468354430379747,0.7058823529411765,0.1468354430379747,0.9837104586454538
13,0.00015941857792939703,0.994904134755592,0.9949335022165928,0.9900990099009901,0.31728942368587715,0.996219281663516,0.3362887903736542,0.998165137614679,0.34642178594046863,0.01857565816724673,0.6297912519777472,0.8227848101265823,0.9562289562289562,0.8227848101265823,0.3617021276595745,0.09367088607594937,0.47058823529411764,0.08354430379746836,0.9743530681500068
