epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,0.0003,0.28869124277890285,0.3905063291139241,0.4306020066889632,0.43227848101265826,0.3146067415730337,0.3221518987341772,0.22330097087378642,0.24556962025316456,1.3432415013361458,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.1328784608840943
2,0.00029815325108927063,0.29593950164817356,0.3867088607594937,0.41304347826086957,0.4177215189873418,0.2640449438202247,0.26582278481012656,0.33980582524271846,0.31645569620253167,1.1633375774730335,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.1263986682891847
3,0.00029265847744427303,0.2981293081164966,0.41265822784810124,0.46237458193979936,0.46392405063291137,0.25280898876404495,0.2569620253164557,0.2621359223300971,0.2791139240506329,1.1358594466941525,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.0991594362258912
4,0.0002836509786282552,0.3041622718394963,0.439873417721519,0.504180602006689,0.5082278481012659,0.17415730337078653,0.21265822784810126,0.2961165048543689,0.2791139240506329,1.1261637289114672,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.1682813239097596
5,0.0002713525491562421,0.31601642540254987,0.49430379746835446,0.5903010033444817,0.5917721518987342,0.2808988764044944,0.2968354430379747,0.12135922330097088,0.11139240506329114,1.1201638458955168,0.07357357357357357,0.1240506329113924,0.0,0.0,0.0,0.0,1.0,1.0,1.1466118264198304
6,0.0002560660171779821,0.29944504230209096,0.4310126582278481,0.49581939799331104,0.49683544303797467,0.21348314606741572,0.2689873417721519,0.24271844660194175,0.23417721518987342,1.1162585056189336,0.07357357357357357,0.1240506329113924,0.0,0.0,0.0,0.0,1.0,1.0,1.1043709659576415
