epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,0.0003,0.3062525827243241,0.30759493670886073,0.32737030411449014,0.3575949367088608,0.32567049808429116,0.36075949367088606,0.2665330661322645,0.28164556962025317,1.2398263312349416,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.0164715027809144
2,0.00029815325108927063,0.32645465298088866,0.3265822784810127,0.313953488372093,0.3259493670886076,0.32222222222222224,0.320253164556962,0.3435114503816794,0.3537974683544304,1.1402570418637208,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.057836470603943
3,0.00029265847744427303,0.3219164548297935,0.3259493670886076,0.3572778827977316,0.3759493670886076,0.23346303501945526,0.24746835443037973,0.38361266294227186,0.37658227848101267,1.1314421374388415,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.0058465027809143
4,0.0002836509786282552,0.3170729848103406,0.320253164556962,0.3443223443223443,0.3670886075949367,0.24048096192384769,0.2791139240506329,0.37009345794392523,0.3537974683544304,1.1286851264009572,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.0727667808532715
5,0.0002713525491562421,0.32029872905756923,0.3278481012658228,0.45454545454545453,0.4563291139240506,0.26953125,0.27341772151898736,0.25096525096525096,0.270253164556962,1.1161188706003053,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.016781005859375
6,0.0002560660171779821,0.30868929574252973,0.3189873417721519,0.46223021582733814,0.47658227848101264,0.23214285714285715,0.24936708860759493,0.25,0.2740506329113924,1.124864880484764,0.2805474095796677,0.7265822784810126,1.0,1.0,0.0,0.0,0.0,0.0,1.0021757364273072
