epoch,lr,train_macro_f1,train_accuracy,train_recall_class_0,train_pred_rate_0,train_recall_class_1,train_pred_rate_1,train_recall_class_2,train_pred_rate_2,train_loss,val_macro_f1,val_accuracy,val_recall_class_0,val_pred_rate_0,val_recall_class_1,val_pred_rate_1,val_recall_class_2,val_pred_rate_2,val_loss
1,2.9999999999999997e-06,0.27378212360837645,0.3318556048131729,0.01904761904761905,0.02089930335655478,0.5666041275797373,0.5851804939835339,0.4069097888675624,0.39392020265991134,0.9822702124865368,0.1561261505492945,0.1291139240506329,0.0,0.0,0.5957446808510638,0.7468354430379747,0.45098039215686275,0.25316455696202533,1.4372183179855347
2,0.00010199999999999999,0.4509310034309097,0.5079164027865738,0.1018867924528302,0.038632045598480054,0.7069943289224953,0.5281823939202026,0.7192307692307692,0.4331855604813173,0.7250143003584159,0.21171854734111542,0.21012658227848102,0.09427609427609428,0.07088607594936709,0.40425531914893614,0.40759493670886077,0.7058823529411765,0.5215189873417722,1.6334852743148804
3,0.00020099999999999998,0.7458416860178305,0.7568081063964535,0.49510763209393344,0.17036098796706775,0.8922495274102079,0.4578847371754275,0.8719851576994434,0.37175427485750473,0.42259883905074214,0.3901123915208422,0.4481012658227848,0.42424242424242425,0.3265822784810127,0.574468085106383,0.4379746835443038,0.47058823529411764,0.23544303797468355,1.5871062350273133
4,0.0003,0.8097836514478237,0.8150728309056364,0.6055226824457594,0.21405953134895503,0.903448275862069,0.44648511716276124,0.926829268292683,0.3394553514882837,0.34618136220884443,0.5605121944936436,0.6531645569620254,0.6599326599326599,0.5037974683544304,0.6595744680851063,0.3392405063291139,0.6078431372549019,0.1569620253164557,1.0740513217449188
5,0.0002984732162821399,0.8611256453028089,0.863204559848005,0.7406015037593985,0.2780240658644712,0.898635477582846,0.363521215959468,0.951310861423221,0.3584547181760608,0.2406993041925057,0.47735819036308946,0.6278481012658228,0.6902356902356902,0.5569620253164557,0.6808510638297872,0.40253164556962023,0.21568627450980393,0.04050632911392405,1.5823163318634033
6,0.0002939239460421746,0.9172136263066527,0.9176694110196327,0.8548094373865699,0.3134895503483217,0.9258517034068137,0.34135528815706145,0.9754253308128544,0.34515516149461684,0.19678890093634224,0.5590926072589522,0.7316455696202532,0.8114478114478114,0.6556962025316456,0.3617021276595745,0.1620253164556962,0.6078431372549019,0.18227848101265823,1.7161465388536454
7,0.0002864447993031777,0.9316911849003882,0.9322355921469284,0.8740458015267175,0.3058898036732109,0.9556840077071291,0.3476884103863205,0.9664179104477612,0.34642178594046863,0.1506424651083165,0.6163073572457259,0.7924050632911392,0.8888888888888888,0.7139240506329114,0.574468085106383,0.189873417721519,0.43137254901960786,0.09620253164556962,1.3317646211385727
8,0.0002761880299246771,0.9536619154432238,0.9537682077264091,0.9157303370786517,0.31918936035465484,0.968503937007874,0.3286890436985434,0.9776536312849162,0.35212159594680176,0.12281740965239935,0.5344005320159605,0.7544303797468355,0.835016835016835,0.6506329113924051,0.1276595744680851,0.07341772151898734,0.8627450980392157,0.2759493670886076,1.905284972190857
9,0.0002633624361531387,0.9725190225569719,0.9721342621912603,0.9523809523809523,0.35085497150094996,0.9767441860465116,0.331222292590247,0.9899193548387096,0.31792273590880304,0.05595695886586327,0.5911963086600202,0.779746835443038,0.8787878787878788,0.7316455696202532,0.2978723404255319,0.09113924050632911,0.6470588235294118,0.17721518987341772,2.551603976264596
10,0.0002482291100917927,0.9793585624890001,0.9797340088663711,0.9513618677042801,0.3128562381253958,0.9863813229571985,0.3324889170360988,1.0,0.3546548448385054,0.040377486273997655,0.6155963640040073,0.8405063291139241,0.9730639730639731,0.8379746835443038,0.10638297872340426,0.04050632911392405,0.7450980392156863,0.12151898734177215,2.877855224609375
